Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
ET.3.2.05,ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Consultation sur le droit à la repartion _ 5. Rédaction du cahier de charge des communauté,,,,,,,,,,,,0,11 200,5 600,5 600,5 600,0,0,0,0,0,0,0,28 000,28 000,28 280,28 560,28 840,29 120,,,,,ET,3,2,05
ET.3.3.01,"ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Organisation des ateliers de partage et échange sur les conflits actuells, passés ou latents et pistes des solutions _ Organisation des ateliers de partage et échange sur les conflits actuells, passés ou latents et pistes des solutions",,,,,,,,,,,,0,48 870,320,1 360,0,0,0,0,1 100,0,0,0,51 650,51 650,52 167,52 683,53 200,53 716,,,,,ET,3,3,01
ET.4.1.01,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 1.Accompagnement administratif et technique dans la formalisation et l'opérationnalisation des associations des victimes _ Sensibilisation des victimes en vue de se constituer en association",,,,,,,,,,,,0,11 730,11 730,11 730,0,5 930,5 800,11 550,0,0,0,0,58 470,58 470,59 055,59 639,60 224,60 809,,,,,ET,4,1,01
ET.4.2.01,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 2.Renforcement des capacités ( JT, droits humains, droits des victimes, gestion, éducation financière, etc.) des associations des victimes pour renforcer système de gestion des AVEC et MUSO dans les territoires des provinces déjà identifiés en tout ou en partie _ Supervision de la formation mise en œuvre par le partenaire",,,,,,,,,,,,0,13 630,13 130,12 630,0,0,12 100,12 130,0,0,0,0,63 620,63 620,64 256,64 892,65 529,66 165,,,,,ET,4,2,01
ET.4.3.01,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 3.Octroi de Subvention des mutuels de solidarité et AVEC par consortium _ Coaching sur la mise en œuvre de projet par le partenaire",,,,,,,,,,,,0,6 830,8 580,6 830,0,0,5 300,5 330,0,0,0,0,32 870,32 870,33 199,33 527,33 856,34 185,,,,,ET,4,3,01
ET.4.4.01,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 4.Programme de construction des infrastructures  pour le developpement des activités AGR des associations des victimes _ 1. Mission exploratoire",,,,,,,,,,,,350 000,700 000,365 700,0,300 000,300 000,300 000,300 000,0,0,0,0,2 615 700,2 615 700,2 641 857,2 668 014,2 694 171,2 720 328,,,,,ET,4,4,01
ET.4.4.02,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 4.Programme de construction des infrastructures  pour le developpement des activités AGR des associations des victimes _ 2. Etude de faisabilité",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,4,4,02
ET.4.4.03,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 4.Programme de construction des infrastructures  pour le developpement des activités AGR des associations des victimes _ 3. Recrutement du partenaire",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,4,4,03
ET.4.5.01,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 5.Reseautage _ Mise en place du circuit de distribution",,,,,,,,,,,,0,0,0,0,0,0,0,100 000,36 050,0,0,0,136 050,136 050,137 411,138 771,140 132,141 492,,,,,ET,4,5,01
ET.4.5.02,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 5.Reseautage _ Recrutement d'un incubateur pour la transformation",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,4,5,02
ET.4.5.03,"ETUDES _ Appui administratif, technique et financier aux associations des victimes _ 5.Reseautage _ Rencontre avec les operateurs économiques",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,4,5,03
